time,temp_nocalibrated_depth_9.75m,temp_nocalibrated_depth_8.25m,temp_nocalibrated_depth_6.75m,temp_nocalibrated_depth_5.25m,temp_nocalibrated_depth_4.25m,temp_nocalibrated_depth_3.25m,temp_nocalibrated_depth_2.25m,temp_nocalibrated_depth_1.25m,temp_nocalibrated_depth_0.75m,temp_nocalibrated_depth_0.25m
2024-09-20 03:30:57,5.875,5.75,5.6875,5.3125,5.3125,5.25,5.375,5.3125,5.3125,5.1875
2024-09-20 04:02:24,5.75,5.625,5.25,5.1875,5.25,5.1875,5.3125,5.3125,5.25,5.1875
2024-09-20 04:30:45,5.6875,5.625,5.5,5.1875,5.25,5.1875,5.3125,5.25,5.25,5.125
2024-09-20 05:00:57,5.5625,5.375,5.25,5.1875,5.25,5.1875,5.3125,5.25,5.25,5.125
2024-09-20 05:30:56,5.4375,5.3125,5.25,5.1875,5.25,5.1875,5.3125,5.25,5.25,5.125
2024-09-20 06:00:53,5.4375,5.25,5.1875,5.1875,5.25,5.1875,5.3125,5.25,5.25,5.125
2024-09-20 06:30:47,5.375,5.1875,5.125,5.0625,5.125,5.0625,5.1875,5.125,5.125,5.0
2024-09-20 07:01:30,5.3125,5.1875,5.125,5.0625,5.125,5.0625,5.1875,5.125,5.125,5.0
2024-09-20 07:30:54,5.375,5.1875,5.125,5.125,5.125,5.0625,5.1875,5.125,5.0625,5.0
2024-09-20 08:00:54,5.5,5.3125,5.1875,5.125,5.125,5.0625,5.1875,5.0625,5.0625,4.9375
2024-09-20 08:30:45,5.625,5.375,5.25,5.25,5.25,5.1875,5.1875,5.0625,5.0625,4.9375
2024-09-20 09:00:56,5.5,5.3125,5.3125,5.25,5.3125,5.25,5.3125,5.125,5.125,4.9375
2024-09-20 09:30:58,5.375,5.25,5.1875,5.1875,5.25,5.1875,5.25,5.125,5.125,5.0
2024-09-20 10:01:43,5.4375,5.25,5.125,5.125,5.25,5.1875,5.375,5.1875,5.1875,5.0625
2024-09-20 10:30:42,5.6875,5.375,5.25,5.25,5.375,5.3125,5.3125,5.1875,5.125,5.0625
2024-09-20 11:00:57,5.75,5.5625,5.3125,5.3125,5.3125,5.25,5.25,5.1875,5.125,5.0
2024-09-20 11:30:58,5.75,5.625,5.375,5.1875,5.25,5.125,5.1875,5.125,5.125,5.0
2024-09-20 12:00:54,5.75,5.5,5.25,5.1875,5.3125,5.125,5.1875,5.1875,5.125,5.0625
2024-09-20 12:30:49,5.6875,5.4375,5.3125,5.375,5.375,5.125,5.125,5.0625,5.0625,4.9375
2024-09-20 13:01:29,5.6875,5.5625,5.4375,5.3125,5.25,5.125,5.125,5.0625,5.0625,4.9375
2024-09-20 13:30:56,5.6875,5.5625,5.375,5.1875,5.25,5.1875,5.125,5.0625,5.0625,4.9375
2024-09-20 14:00:56,5.75,5.5625,5.375,5.25,5.25,5.1875,5.25,5.0625,5.0625,4.9375
2024-09-20 14:30:46,5.6875,5.4375,5.375,5.25,5.25,5.1875,5.125,5.0625,5.0625,5.0
2024-09-20 15:00:57,5.625,5.4375,5.3125,5.1875,5.1875,5.125,5.1875,5.1875,5.1875,5.0625
2024-09-20 15:30:55,5.5,5.4375,5.375,5.3125,5.25,5.0625,5.125,5.125,5.0625,5.0
2024-09-20 16:01:26,5.4375,5.3125,5.25,5.25,5.25,5.125,5.25,5.1875,5.1875,5.0625
2024-09-20 16:30:46,5.375,5.25,5.1875,5.125,5.1875,5.125,5.1875,5.125,5.125,5.0625
2024-09-20 17:00:56,5.5625,5.25,5.1875,5.125,5.125,5.0625,5.125,5.0625,5.125,5.0
2024-09-20 17:30:55,5.6875,5.5625,5.5,5.4375,5.4375,5.125,5.125,5.0,5.0,4.875
2024-09-20 18:00:56,5.75,5.6875,5.5,5.375,5.3125,5.1875,5.25,5.0625,5.0625,4.9375
2024-09-20 18:30:45,5.6875,5.5625,5.5,5.5,5.5,5.25,5.1875,5.0625,5.0,4.875
2024-09-20 19:01:27,5.625,5.5625,5.4375,5.4375,5.4375,5.25,5.1875,5.125,5.0625,4.875
2024-09-20 19:30:57,5.625,5.5,5.4375,5.4375,5.5,5.3125,5.3125,5.1875,5.0,4.875
2024-09-20 20:00:57,5.625,5.5,5.4375,5.375,5.375,5.25,5.25,5.1875,5.0625,4.8125
2024-09-20 20:30:44,5.625,5.5625,5.5,5.4375,5.375,5.1875,5.25,5.0625,4.9375,4.8125
2024-09-20 21:00:56,5.625,5.5,5.375,5.3125,5.3125,5.125,5.25,5.0,4.9375,4.75
2024-09-20 21:30:56,5.5625,5.375,5.3125,5.1875,5.1875,5.125,5.1875,5.0625,5.0,4.75
2024-09-20 22:01:26,5.5625,5.375,5.1875,5.125,5.125,5.125,5.1875,5.0,4.875,4.5625
2024-09-20 22:30:46,5.625,5.5,5.3125,5.25,5.1875,5.0625,5.125,4.9375,4.75,4.375
2024-09-20 23:00:58,5.5625,5.3125,5.1875,5.125,5.1875,5.125,5.0625,4.875,4.75,4.4375
2024-09-20 23:30:57,5.625,5.3125,5.25,5.1875,5.125,5.25,5.3125,4.9375,4.875,4.5625
2024-09-21 00:00:55,5.625,5.5,5.25,5.25,5.3125,5.25,5.25,4.9375,4.6875,4.375
2024-09-21 00:30:45,5.625,5.5,5.25,5.25,5.3125,5.3125,5.3125,5.0625,4.75,4.375
2024-09-21 01:01:51,5.625,5.5,5.3125,5.25,5.3125,5.25,5.1875,5.0625,4.9375,4.3125
2024-09-21 01:30:56,5.625,5.5,5.25,5.25,5.25,5.0625,5.375,4.8125,4.5625,4.4375
2024-09-21 02:00:55,5.6875,5.5,5.375,5.3125,5.1875,5.0625,4.9375,4.625,4.625,4.4375
2024-09-21 02:30:44,5.625,5.4375,5.25,5.1875,5.125,4.8125,4.75,4.6875,4.6875,4.5625
2024-09-21 03:00:57,5.5625,5.4375,5.3125,5.125,5.0625,4.8125,4.8125,4.6875,4.625,4.5
2024-09-21 03:30:56,5.625,5.5625,5.5,5.3125,5.3125,5.125,5.1875,4.875,4.6875,4.4375
2024-09-21 04:01:23,5.5,5.3125,5.125,5.0625,5.0625,4.875,4.9375,4.8125,4.75,4.5625
2024-09-21 04:30:46,5.4375,5.25,5.0,4.9375,4.9375,4.8125,4.8125,4.6875,4.6875,4.5625
2024-09-21 05:00:59,5.6875,5.5625,5.375,5.25,5.1875,5.0625,5.0625,4.875,4.6875,4.5
2024-09-21 05:30:55,5.625,5.5,5.375,5.25,5.1875,5.0,4.9375,4.5625,4.5625,4.4375
2024-09-21 06:00:59,5.6875,5.5625,5.3125,5.25,5.125,4.8125,4.625,4.5625,4.5625,4.4375
2024-09-21 06:30:45,5.6875,5.5,5.3125,5.1875,5.1875,4.9375,4.875,4.75,4.6875,4.4375
